store_id,store_name,region,sku,upc,department,subcategory,cost,retail,on_hand_start,received_units,sold_units,adjustments,on_hand_end,shrink_units,shrink_cost,shrink_type,shrink_reason_detail,date,week_number,shrink_rate,zero_sale_shrink,shrink_greater_than_sales,negative_sales_or_shrink
S002,Fortinos - West,Ontario,SKU0244,470970334045,Health & Beauty,Razors,30.69,51.35,96.00,16.00,26.00,0.00,86.00,0.00,0,None,None,9/22/2025,4,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0029,429911710912,General Merchandise,Cleaning,46.48,101.41,50.00,29.00,9.00,0.00,70.00,0.00,0,None,None,10/27/2025,9,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0077,455578438759,Frozen,Frozen Vegetables,34.03,80.78,113.00,19.00,35.00,0.00,96.00,1.00,34.03,Theft,Organized retail crime,9/22/2025,4,2.86%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0262,409814270928,Meat,Beef,38.27,59.5,85.00,25.00,38.00,0.00,70.00,2.00,76.54,Process Error,Receiving error,9/22/2025,4,5.26%,0,0,0
S002,Fortinos - West,Ontario,SKU0081,433290884804,Grocery,Canned,33.8,50.43,27.00,13.00,12.00,0.00,28.00,0.00,0,None,None,9/22/2025,4,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0252,427858321486,Bakery,Cakes,11.71,16.15,127.00,18.00,30.00,0.00,96.00,19.00,222.49,Vendor Shortage,Short delivery,9/29/2025,5,63.33%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0260,429278324928,Frozen,Frozen Meals,40.16,55.42,46.00,21.00,22.00,0.00,45.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0182,476470121639,Bakery,Deli Bread,18.61,41.46,52.00,17.00,23.00,2.00,43.00,5.00,93.05,Spoilage,Expired,11/10/2025,11,21.74%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0237,460777899235,Grocery,Cereal,3.88,6.89,49.00,17.00,39.00,0.00,26.00,1.00,3.88,Theft,Customer theft,10/27/2025,9,2.56%,0,0,0
S003,Real Canadian - North,Ontario,SKU0047,414619104687,Meat,Pork,47.11,91.42,36.00,24.00,14.00,0.00,44.00,2.00,94.22,Spoilage,Past sell-by,11/10/2025,11,14.29%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0004,479238749482,Frozen,Frozen Meals,14.27,33.25,16.00,28.00,6.00,0.00,38.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0237,460777899235,Grocery,Cereal,3.88,6.89,32.00,23.00,10.00,0.00,45.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0099,444577911667,Produce,Leafy Greens,10.98,17.84,13.00,24.00,2.00,0.00,33.00,2.00,21.96,Spoilage,Damaged,11/17/2025,12,100.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0332,415778878332,Grocery,Cereal,49,95.98,38.00,24.00,9.00,0.00,53.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0022,437450743307,Seafood,Shellfish,48.61,106.48,19.00,21.00,7.00,0.00,32.00,1.00,48.61,Spoilage,Expired,10/6/2025,6,14.29%,0,0,0
S002,Fortinos - West,Ontario,SKU0320,402136189070,Health & Beauty,Baby Formula,4.96,8.49,30.00,20.00,16.00,0.00,34.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0297,491566932233,Seafood,Smoked Seafood,17.7,22.73,5.00,15.00,1.00,0.00,18.00,1.00,17.7,Spoilage,Past sell-by,9/8/2025,2,100.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0214,490858874250,General Merchandise,Batteries,24.37,56.09,6.00,18.00,3.00,0.00,21.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0352,423602494123,Seafood,Fresh Fish,46.86,114.84,18.00,17.00,9.00,0.00,25.00,1.00,46.86,Process Error,Scan error,9/15/2025,3,11.11%,0,0,0
S002,Fortinos - West,Ontario,SKU0054,441036704342,Dairy,Milk,46.62,62.22,31.00,22.00,14.00,1.00,39.00,1.00,46.62,Theft,Employee theft,9/29/2025,5,7.14%,0,0,0
S003,Real Canadian - North,Ontario,SKU0145,460287155135,Frozen,Frozen Vegetables,4.86,7.43,76.00,21.00,48.00,0.00,48.00,1.00,4.86,Theft,Shoplifting,9/8/2025,2,2.08%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0174,454366683091,Dairy,Milk,14.09,27.27,59.00,14.00,23.00,0.00,49.00,1.00,14.09,Vendor Shortage,Short delivery,10/6/2025,6,4.35%,0,0,0
S003,Real Canadian - North,Ontario,SKU0362,491935564292,Dairy,Cheese,25.37,59.97,52.00,16.00,17.00,0.00,51.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0247,410021713656,Dairy,Cheese,29.35,40.62,5.00,15.00,2.00,0.00,17.00,1.00,29.35,Spoilage,Past sell-by,9/1/2025,1,50.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0249,453940159561,Meat,Chicken,32.35,52.63,52.00,23.00,17.00,1.00,57.00,2.00,64.7,Spoilage,Damaged,10/20/2025,8,11.76%,0,0,0
S002,Fortinos - West,Ontario,SKU0253,469153873002,Meat,Chicken,38.66,88.36,48.00,15.00,18.00,0.00,44.00,1.00,38.66,Vendor Shortage,Short delivery,9/15/2025,3,5.56%,0,0,0
S002,Fortinos - West,Ontario,SKU0236,481097779327,Health & Beauty,Razors,32.33,80.26,42.00,23.00,22.00,0.00,43.00,0.00,0,None,None,10/27/2025,9,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0223,457317080966,General Merchandise,Kitchenware,5.99,12.47,44.00,17.00,8.00,0.00,53.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0310,408711797819,Grocery,Canned,2.75,5.59,34.00,25.00,8.00,0.00,51.00,0.00,0,None,None,11/10/2025,11,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0203,492025144470,Health & Beauty,Razors,5.84,12.42,28.00,25.00,3.00,0.00,50.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0290,409132088418,Health & Beauty,Toiletries,12.18,24.83,48.00,19.00,2.00,0.00,65.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0026,430313557786,Dairy,Cheese,43.96,106.87,21.00,29.00,0.00,0.00,50.00,0.00,0,None,None,11/17/2025,12,Zero Sales,0,0,0
S003,Real Canadian - North,Ontario,SKU0037,451799937007,Produce,Bananas,36.55,81.9,118.00,22.00,17.00,0.00,113.00,10.00,365.5,Spoilage,Damaged,11/3/2025,10,58.82%,0,0,0
S002,Fortinos - West,Ontario,SKU0023,489638194710,General Merchandise,Kitchenware,15.27,31.01,15.00,20.00,4.00,0.00,31.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0103,464966624404,Seafood,Fresh Fish,33.64,65.03,78.00,16.00,46.00,0.00,43.00,5.00,168.2,Spoilage,Past sell-by,9/29/2025,5,10.87%,0,0,0
S003,Real Canadian - North,Ontario,SKU0336,460210877534,Meat,Pork,16.03,22.39,74.00,18.00,26.00,0.00,63.00,3.00,48.09,Process Error,Counting error,9/22/2025,4,11.54%,0,0,0
S002,Fortinos - West,Ontario,SKU0070,404033992825,General Merchandise,Seasonal,6.21,15.29,96.00,12.00,34.00,0.00,74.00,0.00,0,None,None,9/1/2025,1,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0219,457450317515,General Merchandise,Batteries,22.96,32.25,42.00,18.00,17.00,0.00,43.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0112,434731952676,Grocery,Snacks,44.14,66.96,105.00,16.00,62.00,-2.00,56.00,1.00,44.14,Spoilage,Damaged,9/15/2025,3,1.61%,0,0,0
S003,Real Canadian - North,Ontario,SKU0362,491935564292,Dairy,Cheese,25.37,59.97,12.00,25.00,2.00,0.00,35.00,0.00,0,None,None,9/1/2025,1,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0081,433290884804,Grocery,Canned,33.8,50.43,67.00,12.00,36.00,1.00,44.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0337,407419135523,Bakery,Deli Bread,35.44,66.42,68.00,22.00,12.00,-1.00,65.00,12.00,425.28,Theft,Employee theft,10/20/2025,8,100.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0378,492182899810,Produce,Leafy Greens,36.1,63.22,40.00,20.00,22.00,0.00,32.00,6.00,216.6,Spoilage,Past sell-by,9/22/2025,4,27.27%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0302,498782508534,Dairy,Butter,36.08,67.95,34.00,19.00,16.00,0.00,36.00,1.00,36.08,Spoilage,Temperature breach,10/20/2025,8,6.25%,0,0,0
S002,Fortinos - West,Ontario,SKU0144,457251070810,Meat,Pork,34.84,54.86,54.00,18.00,28.00,0.00,42.00,2.00,69.68,Vendor Shortage,Vendor mis-ship,10/20/2025,8,7.14%,0,0,0
S002,Fortinos - West,Ontario,SKU0112,434731952676,Grocery,Snacks,44.14,66.96,30.00,16.00,3.00,0.00,43.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0086,432458810745,Health & Beauty,Toiletries,45.91,62.34,75.00,28.00,22.00,1.00,82.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0089,437098473391,Health & Beauty,Razors,38.41,72.12,42.00,18.00,19.00,0.00,41.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0024,473708291861,Bakery,Pastries,47.7,114.44,75.00,22.00,13.00,0.00,72.00,12.00,572.4,Spoilage,Temperature breach,10/27/2025,9,92.31%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0038,426592676864,Meat,Pork,27.05,37.39,42.00,16.00,11.00,0.00,45.00,2.00,54.1,Process Error,Counting error,10/20/2025,8,18.18%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0341,428797330249,Dairy,Yogurt,34.67,63.64,5.00,18.00,2.00,1.00,22.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0121,499713612762,Seafood,Fresh Fish,24.47,52.41,81.00,23.00,18.00,0.00,82.00,4.00,97.88,Spoilage,Expired,10/6/2025,6,22.22%,0,0,0
S003,Real Canadian - North,Ontario,SKU0125,403748302739,Health & Beauty,Toiletries,28.92,52.35,49.00,16.00,26.00,0.00,39.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0369,462321587590,Bakery,Deli Bread,40.53,72.53,70.00,18.00,18.00,0.00,61.00,9.00,364.77,Theft,Shoplifting,11/10/2025,11,50.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0161,497166159255,Dairy,Yogurt,20.18,26.32,49.00,20.00,13.00,0.00,55.00,1.00,20.18,Process Error,Mislabeling,10/20/2025,8,7.69%,0,0,0
S003,Real Canadian - North,Ontario,SKU0144,457251070810,Meat,Pork,34.84,54.86,13.00,19.00,6.00,0.00,25.00,1.00,34.84,Theft,Organized retail crime,10/20/2025,8,16.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0181,460624192275,Health & Beauty,Baby Formula,48.16,66.6,46.00,22.00,12.00,0.00,56.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0107,484543248820,Bakery,Bread,40.37,90.23,36.00,16.00,12.00,1.00,34.00,7.00,282.59,Theft,Customer theft,9/22/2025,4,58.33%,0,0,0
S002,Fortinos - West,Ontario,SKU0341,428797330249,Dairy,Yogurt,34.67,63.64,101.00,20.00,50.00,0.00,69.00,2.00,69.34,Spoilage,Temperature breach,9/15/2025,3,4.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0264,403996346509,Health & Beauty,Baby Formula,21.04,36.09,5.00,16.00,2.00,0.00,19.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0373,406322497674,Produce,Bananas,14.71,21.09,17.00,22.00,5.00,0.00,30.00,4.00,58.84,Spoilage,Temperature breach,11/3/2025,10,80.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0295,495607216550,General Merchandise,Kitchenware,22.59,56.37,39.00,23.00,15.00,0.00,47.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0294,424634535947,Meat,Beef,25.2,42.92,51.00,21.00,17.00,0.00,52.00,3.00,75.6,Spoilage,Temperature breach,11/3/2025,10,17.65%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0303,417496626086,Frozen,Frozen Vegetables,48.63,98.96,21.00,21.00,9.00,0.00,33.00,0.00,0,None,None,11/10/2025,11,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0375,490538984310,Frozen,Ice Cream,48.23,112.71,48.00,27.00,12.00,0.00,62.00,1.00,48.23,Process Error,Mislabeling,9/15/2025,3,8.33%,0,0,0
S002,Fortinos - West,Ontario,SKU0338,494481218287,General Merchandise,Seasonal,24.18,40.86,37.00,23.00,11.00,0.00,49.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0291,481387341532,Grocery,Beverages,2.1,2.94,77.00,21.00,26.00,0.00,71.00,1.00,2.1,Theft,Shoplifting,11/10/2025,11,3.85%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0197,421421266678,Dairy,Cheese,27.24,60.96,5.00,29.00,0.00,0.00,34.00,0.00,0,None,None,9/15/2025,3,Zero Sales,0,0,0
S003,Real Canadian - North,Ontario,SKU0101,451333104219,Produce,Citrus,11.6,14.95,109.00,23.00,44.00,0.00,79.00,9.00,104.4,Spoilage,Expired,11/10/2025,11,20.45%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0123,401298229437,Grocery,Snacks,35.55,48.51,56.00,23.00,40.00,0.00,39.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0158,408438856718,Seafood,Shellfish,6.75,16.57,35.00,22.00,21.00,0.00,33.00,3.00,20.25,Process Error,Mislabeling,9/22/2025,4,14.29%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0235,421798476335,Seafood,Smoked Seafood,47.59,95.96,61.00,27.00,21.00,0.00,62.00,5.00,237.95,Theft,Customer theft,10/6/2025,6,23.81%,0,0,0
S003,Real Canadian - North,Ontario,SKU0399,444541838485,Grocery,Snacks,20.99,40.54,14.00,18.00,3.00,0.00,29.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0094,466058233524,Produce,Citrus,0.79,1.31,41.00,24.00,15.00,0.00,47.00,3.00,2.37,Process Error,Receiving error,10/27/2025,9,20.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0350,444183381016,Health & Beauty,Cosmetics,14.63,18.68,81.00,16.00,39.00,0.00,58.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0351,408317931678,Meat,Pork,45.7,65.24,71.00,11.00,13.00,0.00,67.00,2.00,91.4,Process Error,Scan error,10/6/2025,6,15.38%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0189,420300588783,General Merchandise,Cleaning,44.33,90.94,75.00,22.00,16.00,0.00,81.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0012,422526291403,Meat,Pork,23.38,36.26,17.00,21.00,12.00,0.00,25.00,1.00,23.38,Spoilage,Damaged,9/15/2025,3,8.33%,0,0,0
S003,Real Canadian - North,Ontario,SKU0190,405496442074,Health & Beauty,Razors,34.67,51.4,26.00,20.00,16.00,0.00,30.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0257,441277193030,Bakery,Deli Bread,37.74,83.74,32.00,26.00,10.00,0.00,43.00,5.00,188.7,Spoilage,Damaged,11/3/2025,10,50.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0319,424752417836,Grocery,Snacks,25.16,47.03,84.00,18.00,20.00,0.00,81.00,1.00,25.16,Vendor Shortage,Invoice mismatch,11/10/2025,11,5.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0320,402136189070,Health & Beauty,Baby Formula,4.96,8.49,58.00,24.00,13.00,0.00,69.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0276,404867957151,Meat,Chicken,17.94,29.42,34.00,16.00,14.00,0.00,35.00,1.00,17.94,Process Error,Mislabeling,10/20/2025,8,7.14%,0,0,0
S003,Real Canadian - North,Ontario,SKU0375,490538984310,Frozen,Ice Cream,48.23,112.71,24.00,15.00,4.00,2.00,37.00,0.00,0,None,None,9/1/2025,1,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0102,434143322405,Produce,Bananas,10.37,12.72,30.00,28.00,20.00,0.00,34.00,4.00,41.48,Spoilage,Past sell-by,11/3/2025,10,20.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0332,415778878332,Grocery,Cereal,49,95.98,69.00,14.00,36.00,0.00,47.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0351,408317931678,Meat,Pork,45.7,65.24,57.00,23.00,38.00,-1.00,39.00,2.00,91.4,Process Error,Receiving error,9/22/2025,4,5.26%,0,0,0
S002,Fortinos - West,Ontario,SKU0233,470998407102,General Merchandise,Kitchenware,10.1,22.31,5.00,18.00,5.00,0.00,18.00,0.00,0,None,None,9/1/2025,1,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0331,480353425614,General Merchandise,Cleaning,15.34,34.68,55.00,20.00,16.00,0.00,59.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0061,419025789079,Grocery,Snacks,2.57,4.3,50.00,15.00,27.00,0.00,38.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0021,489200452323,Meat,Chicken,17.34,27.42,89.00,24.00,29.00,1.00,82.00,3.00,52.02,Spoilage,Temperature breach,11/3/2025,10,10.34%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0050,488784233468,Frozen,Frozen Meals,15.35,24.73,106.00,20.00,17.00,0.00,108.00,1.00,15.35,Process Error,Mislabeling,9/8/2025,2,5.88%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0372,449064406677,Meat,Beef,35.17,66.95,16.00,15.00,5.00,0.00,25.00,1.00,35.17,Theft,Customer theft,10/6/2025,6,20.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0115,409410515698,Dairy,Milk,12.45,21.52,5.00,26.00,3.00,1.00,29.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0137,404601670222,Dairy,Cheese,8.71,13.94,17.00,20.00,4.00,0.00,33.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0338,494481218287,General Merchandise,Seasonal,24.18,40.86,27.00,21.00,10.00,1.00,39.00,0.00,0,None,None,9/1/2025,1,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0003,428180332966,Bakery,Bread,35.94,75.9,54.00,24.00,37.00,0.00,34.00,7.00,251.58,Spoilage,Temperature breach,10/27/2025,9,18.92%,0,0,0
S003,Real Canadian - North,Ontario,SKU0080,439018899720,Seafood,Smoked Seafood,26.01,52.61,41.00,21.00,19.00,0.00,41.00,2.00,52.02,Spoilage,Temperature breach,11/3/2025,10,10.53%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0013,445890068783,General Merchandise,Batteries,42.22,93.26,31.00,24.00,10.00,0.00,45.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0257,441277193030,Bakery,Deli Bread,37.74,83.74,47.00,15.00,8.00,0.00,48.00,6.00,226.44,Process Error,Mislabeling,9/22/2025,4,75.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0208,456815947284,Bakery,Deli Bread,17.28,30.92,68.00,17.00,21.00,0.00,59.00,5.00,86.4,Spoilage,Past sell-by,10/27/2025,9,23.81%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0365,491257169138,Frozen,Frozen Vegetables,37.86,88.41,69.00,12.00,17.00,0.00,64.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0145,460287155135,Frozen,Frozen Vegetables,4.86,7.43,29.00,20.00,17.00,0.00,32.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0344,464098133303,Meat,Chicken,32.97,71.6,48.00,14.00,19.00,0.00,42.00,1.00,32.97,Vendor Shortage,Short delivery,9/1/2025,1,5.26%,0,0,0
S002,Fortinos - West,Ontario,SKU0388,423091720683,Seafood,Shellfish,37.84,68.7,50.00,19.00,23.00,0.00,44.00,2.00,75.68,Spoilage,Temperature breach,11/17/2025,12,8.70%,0,0,0
S003,Real Canadian - North,Ontario,SKU0003,428180332966,Bakery,Bread,35.94,75.9,5.00,20.00,2.00,0.00,20.00,3.00,107.82,Spoilage,Past sell-by,9/8/2025,2,150.00%,0,1,0
S001,Loblaws - Midtown,Ontario,SKU0193,428616373834,Health & Beauty,Toiletries,32.26,63.76,67.00,19.00,22.00,0.00,64.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
