sku,upc,department,subcategory,total_sales,total_shrink,shrink_rate
SKU0249,453940159561,Meat,Chicken,345.0,35.0,10.1
SKU0053,440241812434,Meat,Pork,278.0,28.0,10.1
SKU0105,442798149836,Meat,Pork,248.0,25.0,10.1
SKU0325,462295303164,Meat,Prepared Meat,439.0,43.0,9.8
SKU0276,404867957151,Meat,Chicken,351.0,34.0,9.7
SKU0326,417072850692,Meat,Pork,332.0,32.0,9.6
SKU0069,487407507057,Meat,Chicken,415.0,39.0,9.4
SKU0294,424634535947,Meat,Beef,456.0,43.0,9.4
SKU0144,457251070810,Meat,Pork,441.0,41.0,9.3
SKU0001,437544673531,Meat,Beef,344.0,32.0,9.3
SKU0127,410701970001,Meat,Prepared Meat,207.0,19.0,9.2
SKU0231,416511934593,Meat,Prepared Meat,362.0,33.0,9.1
SKU0002,458370720873,Meat,Beef,619.0,56.0,9.0
SKU0133,455846067002,Meat,Pork,360.0,32.0,8.9
SKU0366,496757766788,Meat,Prepared Meat,524.0,46.0,8.8
SKU0168,492855948970,Meat,Prepared Meat,387.0,34.0,8.8
SKU0380,493670995528,Meat,Beef,321.0,28.0,8.7
SKU0012,422526291403,Meat,Pork,227.0,19.0,8.4
SKU0351,408317931678,Meat,Pork,729.0,61.0,8.4
SKU0275,447534806343,Dairy,Milk,401.0,32.0,8.0
SKU0027,412094727776,Meat,Prepared Meat,429.0,34.0,7.9
SKU0047,414619104687,Meat,Pork,399.0,31.0,7.8
SKU0149,498272487905,Dairy,Butter,225.0,17.0,7.6
SKU0253,469153873002,Meat,Chicken,394.0,30.0,7.6
SKU0051,483572699943,Meat,Beef,302.0,22.0,7.3
SKU0302,498782508534,Dairy,Butter,333.0,23.0,6.9
SKU0137,404601670222,Dairy,Cheese,248.0,16.0,6.5
SKU0308,441339156256,Dairy,Cheese,398.0,26.0,6.5
SKU0058,442964901582,Dairy,Milk,239.0,15.0,6.3
SKU0172,442285258394,Dairy,Butter,269.0,17.0,6.3
SKU0106,428840768544,Dairy,Butter,276.0,17.0,6.2
SKU0010,433738332710,Dairy,Milk,230.0,14.0,6.1
SKU0026,430313557786,Dairy,Cheese,222.0,13.0,5.9
SKU0007,463263716304,Dairy,Milk,378.0,22.0,5.8
SKU0138,460663637027,Dairy,Butter,257.0,15.0,5.8
SKU0017,481165531253,Dairy,Butter,317.0,18.0,5.7
SKU0296,413744661316,Dairy,Butter,352.0,20.0,5.7
SKU0131,416063561269,Dairy,Milk,304.0,17.0,5.6
SKU0286,483519572238,Dairy,Yogurt,292.0,16.0,5.5
SKU0164,411797271712,Dairy,Cheese,508.0,28.0,5.5
SKU0066,497871028287,Dairy,Cheese,277.0,15.0,5.4
SKU0197,421421266678,Dairy,Cheese,313.0,17.0,5.4
SKU0152,432092939595,Dairy,Yogurt,370.0,20.0,5.4
SKU0134,439648888517,Dairy,Milk,347.0,18.0,5.2
SKU0059,463313104671,Dairy,Cheese,295.0,15.0,5.1
SKU0174,454366683091,Dairy,Milk,370.0,19.0,5.1
SKU0391,487317814660,Dairy,Cheese,566.0,29.0,5.1
SKU0111,457831192507,Dairy,Butter,255.0,13.0,5.1
SKU0346,482073503222,Dairy,Cheese,317.0,16.0,5.0
SKU0272,481611097405,Dairy,Butter,279.0,14.0,5.0
SKU0247,410021713656,Dairy,Cheese,459.0,23.0,5.0
SKU0155,420896135157,Dairy,Butter,306.0,15.0,4.9
SKU0361,433040189511,Dairy,Yogurt,268.0,13.0,4.9
SKU0341,428797330249,Dairy,Yogurt,352.0,17.0,4.8
SKU0054,441036704342,Dairy,Milk,315.0,15.0,4.8
SKU0363,442694704901,Dairy,Milk,395.0,18.0,4.6
SKU0220,484042174382,Dairy,Yogurt,306.0,14.0,4.6
SKU0078,438656449163,Dairy,Butter,411.0,19.0,4.6
SKU0245,491647589043,Dairy,Butter,343.0,15.0,4.4
SKU0217,401507634128,Dairy,Yogurt,379.0,15.0,4.0
SKU0340,435418530000,Dairy,Butter,401.0,16.0,4.0
SKU0311,480603475139,Dairy,Cheese,357.0,14.0,3.9
SKU0184,489431601323,Dairy,Butter,331.0,13.0,3.9
SKU0261,467178352419,Dairy,Milk,233.0,9.0,3.9
SKU0371,436060325128,Dairy,Milk,285.0,11.0,3.9
SKU0115,409410515698,Dairy,Milk,338.0,13.0,3.8
SKU0073,458878784464,Dairy,Milk,612.0,23.0,3.8
SKU0161,497166159255,Dairy,Yogurt,299.0,11.0,3.7
SKU0238,406835095808,Dairy,Yogurt,438.0,16.0,3.7
SKU0139,410470094617,Dairy,Butter,391.0,14.0,3.6
SKU0362,491935564292,Dairy,Cheese,251.0,9.0,3.6
SKU0353,438694507843,Dairy,Milk,376.0,12.0,3.2
SKU0091,476849965085,Grocery,Cereal,325.0,9.0,2.8
SKU0301,419549174744,Grocery,Beverages,350.0,9.0,2.6
SKU0291,481387341532,Grocery,Beverages,432.0,11.0,2.5
SKU0288,408836285621,Frozen,Ice Cream,297.0,7.0,2.4
SKU0392,429332076647,Grocery,Canned,328.0,8.0,2.4
SKU0140,408701023473,Grocery,Cereal,337.0,8.0,2.4
SKU0357,492632914992,Grocery,Cereal,331.0,8.0,2.4
SKU0075,499319509462,Grocery,Cereal,222.0,5.0,2.3
SKU0123,401298229437,Grocery,Snacks,279.0,6.0,2.2
SKU0230,462784369933,Grocery,Snacks,317.0,7.0,2.2
SKU0180,425041689241,Grocery,Cereal,279.0,6.0,2.2
SKU0145,460287155135,Frozen,Frozen Vegetables,458.0,10.0,2.2
SKU0310,408711797819,Grocery,Canned,365.0,8.0,2.2
SKU0319,424752417836,Grocery,Snacks,446.0,10.0,2.2
SKU0061,419025789079,Grocery,Snacks,438.0,9.0,2.1
SKU0354,475768859863,Grocery,Cereal,433.0,9.0,2.1
SKU0314,427764567672,Frozen,Ice Cream,241.0,5.0,2.1
SKU0093,406080704047,Grocery,Beverages,352.0,7.0,2.0
SKU0049,491071599800,Grocery,Cereal,409.0,8.0,2.0
SKU0109,459483474381,Grocery,Canned,484.0,9.0,1.9
SKU0100,459407662450,Frozen,Ice Cream,531.0,10.0,1.9
SKU0348,490626150291,Grocery,Beverages,514.0,10.0,1.9
SKU0079,462026998628,Grocery,Beverages,431.0,8.0,1.9
SKU0097,475687017337,Frozen,Frozen Vegetables,578.0,11.0,1.9
SKU0246,414300912921,Grocery,Canned,429.0,8.0,1.9
SKU0081,433290884804,Grocery,Canned,330.0,6.0,1.8
SKU0006,451937947921,Grocery,Canned,445.0,8.0,1.8
SKU0157,496520698024,Frozen,Frozen Meals,328.0,6.0,1.8
SKU0015,467239597077,Grocery,Snacks,509.0,9.0,1.8
SKU0387,472094481788,Grocery,Beverages,336.0,6.0,1.8
SKU0156,433060504030,Grocery,Beverages,283.0,5.0,1.8
SKU0008,441025702129,Frozen,Frozen Meals,440.0,8.0,1.8
SKU0118,471096624966,Grocery,Beverages,460.0,8.0,1.7
SKU0199,435108120110,Grocery,Canned,464.0,8.0,1.7
SKU0065,493639886882,Grocery,Beverages,524.0,9.0,1.7
SKU0377,499331199360,Frozen,Frozen Vegetables,361.0,6.0,1.7
SKU0375,490538984310,Frozen,Ice Cream,351.0,6.0,1.7
SKU0260,429278324928,Frozen,Frozen Meals,346.0,6.0,1.7
SKU0234,413899668869,Grocery,Snacks,347.0,6.0,1.7
SKU0330,442273653396,Grocery,Snacks,293.0,5.0,1.7
SKU0226,452094455932,Frozen,Frozen Meals,414.0,7.0,1.7
SKU0112,434731952676,Grocery,Snacks,483.0,8.0,1.7
SKU0162,447047671307,Grocery,Beverages,315.0,5.0,1.6
SKU0265,447595132940,Grocery,Snacks,364.0,6.0,1.6
SKU0248,490055570782,Grocery,Cereal,442.0,7.0,1.6
SKU0315,455728807534,Grocery,Cereal,386.0,6.0,1.6
SKU0303,417496626086,Frozen,Frozen Vegetables,344.0,5.0,1.5
SKU0379,461192598259,Frozen,Frozen Meals,401.0,6.0,1.5
SKU0009,411616047600,Grocery,Snacks,524.0,8.0,1.5
SKU0365,491257169138,Frozen,Frozen Vegetables,403.0,6.0,1.5
SKU0327,420422419911,Grocery,Cereal,404.0,6.0,1.5
SKU0166,448504645275,Grocery,Canned,410.0,6.0,1.5
SKU0324,475463785039,Frozen,Frozen Meals,401.0,6.0,1.5
SKU0218,499393594788,Frozen,Frozen Meals,261.0,4.0,1.5
SKU0399,444541838485,Grocery,Snacks,350.0,5.0,1.4
SKU0358,445162786548,Frozen,Ice Cream,351.0,5.0,1.4
SKU0092,495145574114,Frozen,Frozen Vegetables,214.0,3.0,1.4
SKU0159,414776002664,Grocery,Canned,369.0,5.0,1.4
SKU0384,439672200745,Grocery,Cereal,483.0,7.0,1.4
SKU0072,415081447213,Grocery,Beverages,360.0,5.0,1.4
SKU0332,415778878332,Grocery,Cereal,351.0,5.0,1.4
SKU0210,410626899666,Grocery,Snacks,416.0,6.0,1.4
SKU0209,443358063535,Frozen,Frozen Vegetables,447.0,6.0,1.3
SKU0282,455359923040,Grocery,Beverages,679.0,9.0,1.3
SKU0251,401554039848,Frozen,Frozen Vegetables,313.0,4.0,1.3
SKU0004,479238749482,Frozen,Frozen Meals,542.0,7.0,1.3
SKU0360,440070435559,Frozen,Frozen Meals,306.0,4.0,1.3
SKU0215,478505852701,Grocery,Cereal,419.0,5.0,1.2
SKU0313,410537891829,Frozen,Ice Cream,336.0,4.0,1.2
SKU0335,493723321586,Frozen,Frozen Meals,432.0,5.0,1.2
SKU0283,425656947453,Frozen,Ice Cream,511.0,6.0,1.2
SKU0206,440933429926,Frozen,Frozen Vegetables,252.0,3.0,1.2
SKU0110,420217736696,Grocery,Beverages,419.0,5.0,1.2
SKU0213,482839737518,Frozen,Frozen Vegetables,405.0,5.0,1.2
SKU0318,425350231983,Frozen,Frozen Meals,426.0,5.0,1.2
SKU0095,476169673298,Frozen,Ice Cream,374.0,4.0,1.1
SKU0077,455578438759,Frozen,Frozen Vegetables,468.0,5.0,1.1
SKU0211,473573285650,Frozen,Frozen Meals,369.0,4.0,1.1
SKU0179,418042276277,Frozen,Frozen Meals,492.0,5.0,1.0
SKU0237,460777899235,Grocery,Cereal,289.0,3.0,1.0
SKU0023,489638194710,General Merchandise,Kitchenware,310.0,3.0,1.0
SKU0229,458583962377,Frozen,Frozen Vegetables,601.0,6.0,1.0
SKU0255,422171682944,Frozen,Frozen Meals,304.0,3.0,1.0
SKU0222,462736913741,Frozen,Ice Cream,394.0,4.0,1.0
SKU0076,496217577014,Frozen,Ice Cream,400.0,4.0,1.0
SKU0050,488784233468,Frozen,Frozen Meals,315.0,3.0,1.0
SKU0281,489617921191,Grocery,Canned,219.0,2.0,0.9
SKU0243,488066367387,Grocery,Canned,632.0,6.0,0.9
SKU0154,436540455091,Frozen,Ice Cream,357.0,3.0,0.8
SKU0270,485014149322,Frozen,Frozen Vegetables,521.0,4.0,0.8
SKU0042,452246718600,Frozen,Frozen Meals,268.0,2.0,0.7
SKU0259,441959419085,Health & Beauty,Razors,359.0,2.0,0.6
SKU0239,404456489206,Health & Beauty,Razors,331.0,2.0,0.6
SKU0320,402136189070,Health & Beauty,Baby Formula,178.0,1.0,0.6
SKU0394,440084776485,Health & Beauty,Cosmetics,441.0,2.0,0.5
SKU0322,474241723999,Health & Beauty,Razors,376.0,2.0,0.5
SKU0063,485786976772,General Merchandise,Cleaning,370.0,2.0,0.5
SKU0227,451849169443,General Merchandise,Seasonal,269.0,1.0,0.4
SKU0057,407928955072,Health & Beauty,Baby Formula,259.0,1.0,0.4
SKU0034,419495861299,Health & Beauty,Cosmetics,479.0,2.0,0.4
SKU0173,452558398288,Health & Beauty,Toiletries,250.0,1.0,0.4
SKU0397,488191355766,Frozen,Ice Cream,279.0,1.0,0.4
SKU0224,430259837160,Health & Beauty,Baby Formula,279.0,1.0,0.4
SKU0143,449263319540,Health & Beauty,Toiletries,446.0,2.0,0.4
SKU0292,461727327452,Health & Beauty,Baby Formula,279.0,1.0,0.4
SKU0011,447943234281,Health & Beauty,Baby Formula,555.0,2.0,0.4
SKU0040,486116621144,General Merchandise,Kitchenware,305.0,1.0,0.3
SKU0338,494481218287,General Merchandise,Seasonal,340.0,1.0,0.3
SKU0190,405496442074,Health & Beauty,Razors,289.0,1.0,0.3
SKU0163,411241902797,Health & Beauty,Toiletries,333.0,1.0,0.3
SKU0321,478233449574,Health & Beauty,Cosmetics,386.0,1.0,0.3
SKU0233,470998407102,General Merchandise,Kitchenware,387.0,1.0,0.3
SKU0264,403996346509,Health & Beauty,Baby Formula,326.0,1.0,0.3
SKU0020,477185193913,Health & Beauty,Baby Formula,296.0,1.0,0.3
SKU0343,439283815829,General Merchandise,Cleaning,357.0,1.0,0.3
SKU0342,437459263293,Health & Beauty,Baby Formula,382.0,1.0,0.3
SKU0116,467390653983,General Merchandise,Batteries,314.0,1.0,0.3
SKU0086,432458810745,Health & Beauty,Toiletries,455.0,1.0,0.2
SKU0044,426434651095,General Merchandise,Cleaning,490.0,1.0,0.2
SKU0045,446162203547,General Merchandise,Kitchenware,413.0,1.0,0.2
SKU0287,406215374572,Health & Beauty,Baby Formula,446.0,1.0,0.2
SKU0267,497748478439,Health & Beauty,Cosmetics,479.0,1.0,0.2
SKU0204,412452255945,Health & Beauty,Toiletries,437.0,1.0,0.2
SKU0130,440556177902,General Merchandise,Cleaning,477.0,1.0,0.2
SKU0067,464074263026,Health & Beauty,Cosmetics,428.0,1.0,0.2
SKU0201,470660825243,General Merchandise,Kitchenware,414.0,1.0,0.2
SKU0122,417096163003,General Merchandise,Seasonal,537.0,1.0,0.2
SKU0216,437338174438,General Merchandise,Kitchenware,459.0,1.0,0.2
SKU0200,411792542585,General Merchandise,Kitchenware,361.0,0.0,0.0
SKU0192,451799668213,General Merchandise,Seasonal,453.0,0.0,0.0
SKU0084,418227774388,Health & Beauty,Razors,389.0,0.0,0.0
SKU0016,418317520862,Health & Beauty,Cosmetics,468.0,0.0,0.0
SKU0142,438294241024,General Merchandise,Cleaning,391.0,0.0,0.0
SKU0212,415762586969,General Merchandise,Seasonal,335.0,0.0,0.0
SKU0349,487647000122,General Merchandise,Batteries,226.0,0.0,0.0
SKU0202,487866623558,General Merchandise,Seasonal,491.0,0.0,0.0
SKU0035,467794424223,Health & Beauty,Cosmetics,409.0,0.0,0.0
SKU0398,414886374138,General Merchandise,Cleaning,349.0,0.0,0.0
SKU0312,465721993789,Health & Beauty,Baby Formula,353.0,0.0,0.0
SKU0126,434580399705,Health & Beauty,Baby Formula,452.0,0.0,0.0
SKU0385,440430933225,General Merchandise,Batteries,316.0,0.0,0.0
SKU0329,482244073897,Health & Beauty,Razors,337.0,0.0,0.0
SKU0189,420300588783,General Merchandise,Cleaning,456.0,0.0,0.0
SKU0244,470970334045,Health & Beauty,Razors,413.0,0.0,0.0
SKU0088,462482634267,Health & Beauty,Razors,303.0,0.0,0.0
SKU0284,412030839426,General Merchandise,Seasonal,448.0,0.0,0.0
SKU0171,481551343050,Health & Beauty,Baby Formula,453.0,0.0,0.0
SKU0271,471433702538,Health & Beauty,Toiletries,373.0,0.0,0.0
SKU0298,442482946103,General Merchandise,Seasonal,339.0,0.0,0.0
SKU0181,460624192275,Health & Beauty,Baby Formula,370.0,0.0,0.0
SKU0304,471640522601,Health & Beauty,Razors,369.0,0.0,0.0
SKU0263,459403893323,General Merchandise,Batteries,394.0,0.0,0.0
SKU0046,410771041378,General Merchandise,Batteries,328.0,0.0,0.0
SKU0368,443656354657,General Merchandise,Batteries,370.0,0.0,0.0
SKU0114,444059288123,Health & Beauty,Cosmetics,177.0,0.0,0.0
SKU0350,444183381016,Health & Beauty,Cosmetics,264.0,0.0,0.0
SKU0214,490858874250,General Merchandise,Batteries,376.0,0.0,0.0
SKU0293,444659216180,General Merchandise,Seasonal,266.0,0.0,0.0
SKU0254,445792637403,General Merchandise,Kitchenware,397.0,0.0,0.0
SKU0290,409132088418,Health & Beauty,Toiletries,342.0,0.0,0.0
SKU0219,457450317515,General Merchandise,Batteries,365.0,0.0,0.0
SKU0074,457398894166,General Merchandise,Batteries,412.0,0.0,0.0
SKU0242,408408353522,General Merchandise,Batteries,526.0,0.0,0.0
SKU0135,433017066829,Health & Beauty,Toiletries,220.0,0.0,0.0
SKU0203,492025144470,Health & Beauty,Razors,325.0,0.0,0.0
SKU0148,407559101808,Health & Beauty,Razors,396.0,0.0,0.0
SKU0167,492624955739,General Merchandise,Cleaning,254.0,0.0,0.0
SKU0274,406314182096,General Merchandise,Kitchenware,357.0,0.0,0.0
SKU0236,481097779327,Health & Beauty,Razors,440.0,0.0,0.0
SKU0013,445890068783,General Merchandise,Batteries,404.0,0.0,0.0
SKU0223,457317080966,General Merchandise,Kitchenware,598.0,0.0,0.0
SKU0032,432592102130,General Merchandise,Batteries,395.0,0.0,0.0
SKU0147,406069852114,General Merchandise,Cleaning,355.0,0.0,0.0
SKU0331,480353425614,General Merchandise,Cleaning,534.0,0.0,0.0
SKU0096,457006823094,Health & Beauty,Cosmetics,531.0,0.0,0.0
SKU0193,428616373834,Health & Beauty,Toiletries,374.0,0.0,0.0
SKU0295,495607216550,General Merchandise,Kitchenware,390.0,0.0,0.0
SKU0119,496000295209,General Merchandise,Seasonal,235.0,0.0,0.0
SKU0305,456388767193,General Merchandise,Batteries,366.0,0.0,0.0
SKU0043,496306083818,Health & Beauty,Baby Formula,358.0,0.0,0.0
SKU0232,431522969523,General Merchandise,Kitchenware,339.0,0.0,0.0
SKU0280,405382941646,General Merchandise,Cleaning,215.0,0.0,0.0
SKU0328,404489543732,General Merchandise,Kitchenware,273.0,0.0,0.0
SKU0370,479271345838,General Merchandise,Cleaning,467.0,0.0,0.0
SKU0316,431435363388,General Merchandise,Kitchenware,469.0,0.0,0.0
SKU0289,404092199300,General Merchandise,Batteries,475.0,0.0,0.0
SKU0070,404033992825,General Merchandise,Seasonal,469.0,0.0,0.0
SKU0269,431302157929,General Merchandise,Cleaning,347.0,0.0,0.0
SKU0125,403748302739,Health & Beauty,Toiletries,490.0,0.0,0.0
SKU0191,450918770857,Health & Beauty,Cosmetics,203.0,0.0,0.0
SKU0031,431129517597,Health & Beauty,Toiletries,255.0,0.0,0.0
SKU0113,401444812497,Health & Beauty,Razors,318.0,0.0,0.0
SKU0029,429911710912,General Merchandise,Cleaning,354.0,0.0,0.0
SKU0089,437098473391,Health & Beauty,Razors,317.0,0.0,0.0
